chromosome	position	strand	refGenome	reads	subject	externalSampleID	internalSampleID	cellType	timePoint	estAbund	relAbund	nearestFeature	inFeature	nearestFeatureStrand	inFeatureExon	nearestFeatureDist	nearestOncoFeature	nearestOncoFeatureDist
chr1	103283316	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	LOC101928436	FALSE	-	FALSE	133763	COL11A1	-174819
chr1	115506805	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	VANGL1	FALSE	+	FALSE	-135146	NRAS	-789910
chr1	120491554	-	hg38	25	testPatient	testPatient	GTSP9991	T-CELLS	M1	1	0.01959631589261219	LOC100996724	TRUE	-	FALSE	-0	NOTCH2	-421850
chr1	122572215	-	hg38	2	testPatient	testPatient	GTSP9991	T-CELLS	M1	1	0.01959631589261219	EMBP1	FALSE	+	FALSE	1000326	NOTCH2	-2502511
chr1	12824227	-	hg38	11	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PRAMEF11	FALSE	-	FALSE	531	DHRS3	-206495
chr1	17034596	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	SDHB	TRUE	-	FALSE	-0	SDHB	-0
chr1	175946637	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	COP1	TRUE	-	FALSE	-0	TNR	-203020
chr1	185087529	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	RNF2	TRUE	+	FALSE	-0	RGL1	1158977
chr1	186077404	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	HMCN1	TRUE	+	FALSE	-0	PRG4	-218867
chr1	196324527	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	KCNT2	TRUE	-	FALSE	-0	ASPM	759598
chr1	215144679	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	KCNK2	TRUE	+	FALSE	-0	CENPF	480107
chr1	221173584	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	C1orf140	FALSE	-	FALSE	156342	DUSP10	527834
chr1	230044189	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	GALNT2	FALSE	+	FALSE	-13598	ABCB10	-485493
chr1	230350194	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	PGBD5	TRUE	-	FALSE	-0	ABCB10	-791498
chr1	232000195	-	hg38	125	testPatient	testPatient	GTSP9991	T-CELLS	M1	5	0.09798157946306094	TSNAX-DISC1,DISC1	TRUE	+,+	FALSE	0	EGLN1	-575150
